project,issue,compile_rate,test_rate,final_coverage,cov_trend,last_compile_status,last_test_status,mr_state,branch_name
A07,Issue #3,45.95,0.00,2.15,0.00,success,failed,opened,feature/issue-3-us-03-track-ship-damage-announ
A07,Issue #4,50.00,17.65,1.31,-78.69,success,failed,opened,feature/issue-4-us-04-single-player-mode-vs-co
A07,Issue #5,28.21,5.13,1.43,-78.57,success,failed,opened,feature/issue-5-us-05-save-load-and-resume-a-m
A08,Issue #1,89.29,67.86,96.43,72.90,success,success,valid_merge,feature/issue-1-us-01-place-fleet-on-a-conceal
A08,Issue #2,100.00,63.64,73.64,-22.79,success,success,valid_merge,feature/issue-2-us-02-take-turns-firing-with-h
A08,Issue #3,86.96,6.52,64.34,-9.30,success,failed,opened,feature/issue-3-us-03-track-ship-damage-announ
A08,Issue #4,100.00,84.21,71.70,-2.36,success,success,opened,feature/issue-4-us-04-single-player-mode-vs-co
A08,Issue #5,100.00,46.43,65.67,-7.97,success,success,valid_merge,feature/issue-5-us-05-save-load-and-resume-a-m
A09,Issue #1,90.00,33.33,98.28,84.49,success,success,valid_merge,feature/issue-1-us-01-place-fleet-on-a-conceal
A09,Issue #2,57.97,2.90,70.30,-27.98,canceled,canceled,opened,feature/issue-2-us-02-take-turns-firing-with-h
A09,Issue #3,0.00,0.00,0.00,0.00,canceled,canceled,opened,feature/issue-3-us-03-track-ship-damage-announ
A09,Issue #4,52.63,7.89,75.28,11.44,success,failed,opened,feature/issue-4-us-04-single-player-mode-vs-co
A09,Issue #5,39.29,0.00,75.28,0.00,success,failed,opened,feature/issue-5-us-05-save-load-and-resume-a-m
A10,Issue #1,87.50,29.17,12.50,-67.50,success,success,valid_merge,feature/issue-1-us-01-place-fleet-on-a-conceal
A10,Issue #2,100.00,60.00,82.22,-4.14,success,success,opened,feature/issue-2-us-02-take-turns-firing-with-h
A10,Issue #3,88.89,5.56,63.20,-30.74,success,failed,opened,feature/issue-3-us-03-track-ship-damage-announ
A10,Issue #4,91.94,3.23,62.76,-31.68,success,failed,opened,feature/issue-4-us-04-single-player-mode-vs-co
A10,Issue #5,100.00,100.00,57.35,-29.01,success,success,no_mr,feature/issue-5-us-05-save-load-and-resume-a-m
